,,,,Distribution,,,Valuation ,,,Dates,,,,Time,,,Market Capitalization (Coinmarketcap.com),,,,,Token Returns,,,Ether Returns,,,Bitcoin Returns,,,Excess Returns (Arithmetic Avg),,Monthly CAGR,,
Name,status,Type,Raise,Total Amount of tokens,Amount sold in ICO,% Ownership,Project Valuation,Implied Token Price,Implied Token Price Check,Start Date,ICO End Date,Today,Month,Days,Months,Years,Ticker,available_supply,total_supply,Market Cap,Implied Project Valuation,Token Raise,Token Now,Total Return,ETH Raise,ETH Now,ETH Return,BTC Raise,BTC Now,Bitcoin Return,Excess Return ETH,Excess Return BTC,Token,ETH,BTC
Ark,Completed,Cryptocurrency,"$942,593","125,945,480","94,695,480",75.19%,"$1,253,654",$0.01,$0.01,11/7/2016,2016-12-11,2017-05-18,Dec16,158,5.266666667,0.4328767123,ark,"94,799,102.00","126,049,102.00","$23,711,057","$31,527,276",$0.01,$0.25,2412.76%,$8.21,$85.09,942.27%,$769.57,"$1,751.87",127.64%,1470.50%,2285.12%,86.01%,56.86%,17.16%
Particl,Completed,eCommerce,"$750,000",,,,,,,3/18/2017,2017-04-14,2017-05-18,Apr17,34,1.133333333,0.09315068493,,,,,,,,,,,,,,,,,,,
BlockPay,Completed,Retail,"$675,000","98,928,316","5,428,300",5.49%,"$12,301,570",$0.12,$0.12,8/20/2016,2016-09-05,2017-05-18,Sep16,255,8.5,0.698630137,blockpay,"5,428,300.00","98,928,316.00","$1,084,439","$19,763,411",$0.12,$0.20,60.66%,$11.75,$85.09,628.26%,$607.56,"$1,751.87",188.35%,-567.60%,-127.69%,5.82%,26.64%,13.46%
Virtual Accelerator,Completed,Crowdfunding,"$645,000","16,110,893","16,110,893",100.00%,"$645,000",$0.04,$0.04,10/20/2016,2016-12-21,2017-05-18,Dec16,148,4.933333333,0.4054794521,hacker-gold,"16,110,893.00","16,110,893.00","$765,752","$765,752",$0.04,$0.05,18.72%,$7.78,$85.09,999.87%,$814.76,"$1,751.87",115.02%,-981.15%,-96.30%,3.59%,63.50%,17.04%
Equibit,Completed,Exchange,"$633,246",,,,,,,2/1/2017,2017-04-01,2017-05-18,Apr17,47,1.566666667,0.1287671233,,,,,,,,,,,,,,,,,,,
Golos,Completed,Media,"$462,000",,,,,,,11/1/2016,2016-12-04,2017-05-18,Dec16,165,5.5,0.4520547945,golos,"122,196,348.00","122,196,348.00","$3,316,519","$3,316,519",,,,,,,,,,,,,,
Storj,Completed,Computing,"$461,802","500,000,000","51,173,144",10.23%,"$4,512,152",$0.01,$0.01,7/18/2014,2014-08-18,2017-05-18,Aug14,1004,33.46666667,2.750684932,storjcoin-x,"51,173,144.00","500,000,000.00","$24,353,913","$24,353,913",,,,,,,,,,,,,,
Contingency,Completed,Gambling,"$367,078",,,,,,,2/1/2017,2017-02-28,2017-05-18,Feb17,79,2.633333333,0.2164383562,,,,,,,,,,,,,,,,,,,
BlockCDN,Completed,Content Delivery,"$303,000",,,,,,,11/25/2016,2016-12-25,2017-05-18,Dec16,144,4.8,0.3945205479,,,,,,,,,,,,,,,,,,,
Creativechain,Completed,Content Delivery,"$292,000",,,,,,,3/15/2017,2017-05-01,2017-05-18,May17,17,0.5666666667,0.04657534247,,,,,,,,,,,,,,,,,,,
Mass coin,Completed,Advertising,"$252,432",,,,,,,9/1/2016,2016-12-01,2017-05-18,Dec16,168,5.6,0.4602739726,,,,,,,,,,,,,,,,,,,
Apptrade,Completed,Investing,"$206,294",,,,,,,2/28/2017,2017-04-30,2017-05-18,Apr17,18,0.6,0.04931506849,,,,,,,,,,,,,,,,,,,
eBoost,Completed,Gambling,"$140,000",,,,,,,9/15/2016,2016-10-27,2017-05-18,Oct16,203,6.766666667,0.5561643836,,,,,,,,,,,,,,,,,,,
Santiment,Completed,Prediction Market,"$135,000",,,,,,,2/12/2017,2017-02-13,2017-05-18,Feb17,94,3.133333333,0.2575342466,,,,,,,,,,,,,,,,,,,
Beyond the Void,Completed,Gaming,"$115,500","66,521,587","28,904,984",43.45%,"$265,810",$0.00,$0.00,11/1/2016,2016-11-30,2017-05-18,Nov16,169,5.633333333,0.4630136986,nexium,"66,521,586.00","66,521,586.00","$8,621,996","$8,621,996",$0.00,$0.13,3143.66%,$8.44,$85.09,913.86%,$738.04,"$1,751.87",137.37%,2229.80%,3006.30%,87.05%,51.57%,16.83%
Tokes,Completed,Cannabis,"$81,100","50,000,000","647,624",1.30%,"$6,261,348",$0.13,$0.13,12/2/2016,2017-01-16,2017-05-18,Jan17,122,4.066666667,0.3342465753,tokes,"647,624.00","50,000,000.00","$530,708","$530,708",$0.13,$0.82,554.39%,$9.77,$85.09,775.84%,$834.87,"$1,751.87",109.84%,-221.46%,444.55%,59.74%,71.54%,20.30%
